;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
178;IND;;1693;1991;SRA. PREFEITA ENVIAR A ESTA CASA PROJETO DE LEI QUE AMPLIE O HO RARIO DE FUNCIONAMENTO DAS BIBLIOTECAS MUNICIPAIS ATE A ZERO HORA DE SEGUNDA A SEGUNDA-FEIRA.;;HORARIO DE FUNCIONAMENTOBIBLIOTECA PUBLICA;;;;OSVALDO SANCHES FERNANDES;PARTIDO PROGRESSISTA BRASILEIRO
180;IND;;1695;1991;"SRA. PREFEITA SOLICITA ESTUDOS, JUNTO À SECRETARIA MUNICIPAL DE CULTURA, NO SENTIDO DE SER INSTITUÍDO NO ÂMBITO DO MUNICÍPIO O PROGRAMA ""MÚSICA PAR A COMUNIDADE"".";;MUSICA/SECRETARIA MUNICIPAL DE CULTURA - SMCENSINO/PROGRAMA MUSICA PARA A COMUNIDADE;;;;EUSTAQUIO VITAL NOLASCO;PARTIDO COMUNISTA DO BRASIL
186;IND;;1701;1991;SRA. PREFEITA PROCEDER A ELABORAÇÃO DE ESTUDOS E IMPLANTAÇÃO DE UM VIADUTO DE TRANSPOSIÇÃO DA FERROVIA JUNTO À ESTAÇÃO JARAGUÁ DA COMPANHIA BRASILEIRA DE TRENS URBANOS-CBTU.;;CBTU/FERROVIA/ESTACAO FERROVIARIA JARAGUAVIADUTO;;;;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
195;IND;;1710;1991;"SRA. PREFEITA SOLUÇÃO P/ESTADIO PAULO MACHADO DE CARVALHO-PACAEMBÚ:1)ABUSO NOS PREÇOS COBRADOS PELOS COMERCIANTES; 2)FALTA DE HIGIENE POR PARTE DOS VENDEDORES; 3)PROIBIÇÃO DE VENDA DE BEBIDAS EM COPOS COLOCADOS EM BALCÕES.";;ESTADIO MUNICIPAL DO PACAEMBU/SAUDE PUBLICAHIGIENE PUBLICA/FISCALIZACAO DE PRECO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
228;IND;;1743;1991;SRA. PREFEITA OFICIALIZAÇÃO DAS TRAVESSAS DO BAIRRO AMERICANÓPOLIS, AR-SA.;;TRAVESSA/AMERICANOPOLISOFICIALIZACAO DE LOGRADOURO;;AR-SA;;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
229;IND;;1744;1991;SRA. PREFEITA PAGAMENTO DE IMPOSTOS ATRASADOS EM QUALQUER AGÊNCIA BANCÁRIA, EM TODOS OS BAIRROS.;;BANCOS/IMPOSTOS ATRASADOSPAGAMENTO DE IMPOSTO;;;;ARSELINO ROQUE TATTO;PARTIDO DOS TRABALHADORES
239;IND;;1754;1991;SRA. PREFEITA EFETUAR CONSÓRCIO ENTRE A PREFEITURA DA CAPITAL E A DE OSASCO, PARA PROCEDER A ELABORAÇÃO DE ESTUDOS E PROJETO PARA A CANALIZAÇÃO DO RIBEIRÃO VERMELHO, ENTRE A VIA ANHANGUERA E AV.MUTINGA, E CONSEQUENTEMENTE A IMPLANTAÇÃO DA AV.FUNDO VALE;;ABERTURA DE RUA/OSASCO (MUNICIPIO)/CANALIZACAORIBEIRAO VERMELHO/CONSORCIO DE MUNICIPIOS;;;;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
290;IND;;1805;1991;SRA. PREFEITA SEJA DADO O NOME DE MARIA DOROTHEA BRASIL VITA À UMA DAS ESCOLAS DO MUNICÍPIO DE SÃO PAULO.;;DENOMINACAO DE ESCOLA/ESCOLA MUNICIPALMARIA DOROTEIA BRASIL VITA;;;;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
293;IND;;1808;1991;"SRA. PREFEITA PARA QUE SE FAÇA CUMPRIR A LEGISLAÇÃO NO QUE DIZ RESPEITO À INSTALAÇÃO E FUNCIONAMENTO DE MOTÉIS E ""DRIVE-INS"",DEN TRO DO PERÍMETRO URBANO.";;DRIVE IN/FISCALIZACAO/PERIMETRO URBANO/MOTELLOCALIZACAO DE MOTEL;;;;MARCOS RIBEIRO DE MENDONCA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
297;IND;;1812;1991;SRA. PREFEITA PROJETO CORRIGINDO AS DISTORÇÕES DA LEI N.9480, DE 08/06/82, RELATIVAS A CARREIRA DE AGENTE DE APOIO FISCAL.;;AGENTE DE APOIO FISCAL/CARGOS E FUNCOESCARREIRA/LEI 09.480/82;;;;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
323;IND;;1838;1991;SRA. PREFEITA PAVIMENTAÇÃO DA R.PROJETADA, AR-PE.;;RUA PROJETADAPAVIMENTACAO;;AR-PE;;GILBERTO NASCIMENTO SILVA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
367;IND;;1882;1991;"SRA. PREFEITA FORNECIMENTO AO VARP-VETERANOS AMIGOS DO RIO PE QUENO: A)TELA PARA CERCAR A PÇA.,DE ESPORTES; B)MOURÕES EM NO. NECESSÁRIO P/ A FIXAÇÃO DA TELA; C)UM CONJUNTO DE BOLAS P/VÔLEI, BASQUETE E FUTEBOL.";;SECRETARIA MUNICIPAL DE ESPORTES - SEME/CERCA/BOLAMOURAO/VETERANOS AMIGOS DO RIO PEQUENO - VARP;;;;JUAREZ SOARES MOREIRA;PARTIDO DOS TRABALHADORES
381;IND;;1896;1991;"SRA. PREFEITA INSTITUIÇÃO DO CARTÃO DE ZONA AZUL COM PERÍODO DE 15 MINUTOS; INSTALAÇÃO DE PAQUIMETROS NAS PRINCIPAIS RUAS DE COMÉCIO.";;ESTACIONAMENTO/ZONA AZUL/PERIODO DE ESTACIONAMENTOCARTAO DE ZONA AZUL/PARQUIMETRO;;;;EDSON FALANGA;PARTIDO LIBERAL
442;IND;;1957;1991;SRA. PREFEITA OBJETIVO DE SE VIABILIZAR A IMPLANTAÇÃO DE UMA CRECHE NA REGIÃO D GLICÉRIO, BAIRRO DO CAMBUCI.;;VARZEA DO GLICERIO/CAMBUCICRECHE;;;;PAULO SEITI KOBAYASHI;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
510;IND;;2025;1991;À SRA. PREFIETA, A NECESSIDADE DE PROVIDÊNCIAS JUNTO AOS ÓRGÃOS COMPETENTES,ASSUNTO: COLOCAÇÃO DE GABIÕES NO CÓRREGO DO CORDEIRO, ENTRE AS RUAS JACINTO PAES E ARQUITETO FELIPE JOAQUIM JR., ATÉ A RUA DERVILLE ALEGRETTI,BAIRRO DE AMERICANÓPOLIS AR/VM.;;AMERICANOPOLIS/CORREGO DO CORDEIROGABIAO;;AR-SA;;PAULO SEITI KOBAYASHI;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
518;IND;;2033;1991;À SRA. PREFEITA SEJA ESTUDADA PELA ADMINISTRAÇÃO PÚBLICA, COM A MÁXIMA URGÊNCIA, CRIAÇÃO DE CURSOS PROFISSIONALIZANTE COMO O EXISTENTE NA ESCOLA MUNICIPAL DERVILLE ALEGRETTI, EM SANTANA.;;EMPSG PROF. DERVILLE ALLEGRETTIENSINO PROFISSIONALIZANTE;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
527;IND;;2042;1991;À SRA. PREFEITA A NECESSIDADE DE ESTUDOS VISANDO A IMPLANTAÇÃO DE PONTOS DE ÔNIBUS INTERMEDIÁRIOS, NOS HORÁRIOS DE PICO, PERMITINDO QUE OS ÔNIBUS NÃO SAIAM APENAS DE PONTOS INICIAIS.;;HORARIO DE PICOPONTO DE ONIBUS;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
540;IND;;2055;1991;À SRA. PREFEITA, A NECESSIDADE DE ESTUDOS VISANDO A IMPLANTAÇÃO, POR PARTE DA PREFEITURA MUNICIPAL DE SÃO PAULO, DE TENDAS ( TIPO CIRCO) EM VIAS PÚBLICAS LIVRES DO MUNICÍPIO PARA QUE OS TERREIROS E ILES DE CANDOMBLÉS,POSSAM ATENDER A POPULAÇÃO.;;CANDOMBLE/TENDATERREIRO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
588;IND;;2103;1991;À SRA. PREFEITA, A NECESSIDADE DE PROVIDÊNCIAS JUNTO À SECRETARIA MUNIC.DE EDUCAÇÃO,NO SENTIDO QUE SEJAM DESENVOLVIDOS NAS ESCOLAS MUNIC. UM TRABALHO VISANDO A REUTILIZAÇÃO DE SOBRAS DE LIVROS E CADERNOS P/ A PRODUÇÃO DE PAPEL RECICLADO.;;ESCOLA MUNICIPALPAPEL RECICLADO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
647;IND;;2162;1991;À SRA. PREFEITA, A NECESSIDADE DE ESTUDOS VISANDO À CRIAÇÃO DE CARGOS DE VETERINÁRIOS,PARA PRESTAÇÃO DE SERVIÇO JUNTO AOS POSTOS DE SAÚDE PÚBLICA, QUE NÃO SÓ TRATARIAM DE ANIMAIS DOMÉSTICOS, BEM COMO DARIAM INSTRUÇÕES Á POPULAÇÃO.;;CARGOS E FUNCOES/POSTO DE SAUDEVETERINARIO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
678;IND;;2193;1991;A SRA. PREFEITA: SOLIVCITA PROVIDENCIAS DO EXECUTIVO PARA DETER MINAR A EXIGENCIA DE EXAMES MEDICOS NOS RECEM-NASCIDOS TESTES DE HIPOTIREOIDISMO CONGENITO E DE FENILCETONURIA (TESTE DO PE).;;EXAME HEMATOLOGICO/MATERNIDADE/HIPOTIREOIDISMORECEM NASCIDO/FENILCETONURIA;;;;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
702;IND;;2217;1991;À SRA. PREFEITA ASSUNTO: CONCESSÃO DE ISENÇÃO DO PAGAMENTO DO IMPOSTO PREDIAL URBANO QUANDO SE TRATAR DE IMOVEIS UTILIZADOS COMO CASA PAROQUIAL.;;CASA PAROQUIAL/IPTU/INSTITUICAO RELIGIOSAISENCAO TRIBUTARIA;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
713;IND;;2228;1991;AO EXECUTIVO MUNICIPAL, PROVIDENCIAR JUNTO AO SETOR COMPETENTE A INSTALAÇÃO DE UMA BIBLIOTECA PUBLICA MUNICIPAL, NO BAIRRO JAÇANÃ.;;JACANABIBLIOTECA PUBLICA;;AR-ST;;EDER JOFRE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
823;IND;;2338;1991;À SRA. PREFEITA ASSUNTO: FISCALIZAÇÃO NA VIAÇÃO SANTA PAULA LTDA, BEM COMO NAS EMPRESAS QUE TRANSITAM DENTRO DE PERÍMETRO URBANO.;;CONCESSIONARIA DE TRANSPORTE COLETIVO/ESCAPAMENTOFISCALIZACAO DE ONIBUS/VIACAO SANTA PAULA/ONIBUS;;;;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
832;IND;;2347;1991;À SRA. PREFEITA ASSUNTO:ENVIAR A CMSP. PROJETO DE LEI QUE ALTERE A REDAÇÃO DO ARTIGO 1O. DO DECRETO 1060, DE 07 DE OUTUBRO DE 1948, ESTENDENDO O BENEFÍCIO DOS PASSES ESCOLARES AOS PROFESSORES DE TODOS OS NÍVEIS.;;PASSE ESCOLAR/TRANSPORTE COLETIVO URBANO/PROFESSORDECRETO 01.060/48;;;;OSVALDO SANCHES FERNANDES;PARTIDO PROGRESSISTA BRASILEIRO
833;IND;;2348;1991;À SRA. PREFEITA ENVIAR A CMSP. PROJETO DE LEI CRIANDO O BANCO MUNICIPAL DE REMÉDIOA E EQUIPAMENTOS MÉDICO-HOSPITALARES BAMREM.;;BANCO MUNICIPAL DE REMEDIOS E EQUIP. MEDICO HOSP.MATERIAL HOSPITALAR/DOACAO DE REMEDIO/MEDICAMENTO;;;;OSVALDO SANCHES FERNANDES;PARTIDO PROGRESSISTA BRASILEIRO
862;IND;;2377;1991;"À SRA. PREFEITA A NECESSIDADE DE REGULARIZAR A ATUAÇÃO DOS ÔNIBUS ""CLANDESTINO"", E QUE OPERAM EM VÁRIAS REGIÕES DE S.PAULO.";;TRANSPORTE COLETIVO URBANOONIBUS IRREGULAR;;;;EDSON FALANGA;PARTIDO LIBERAL
867;IND;;2382;1991;À SRA. PREFEITA ASSUNTO:INTEGRAÇÃO ÔNIBUS-ÔNIBUS, UTILIZÁVEL EM TODAS AS LINHAS DE ÔNIBUS E TRÁLEBUS DO MUNICÍPIO DE S. PAULO.;;ONIBUS/PASSE ONIBUS ONIBUSTARIFAS/TRANSPORTE COLETIVO URBANO;;;;EDSON FALANGA;PARTIDO LIBERAL
868;IND;;2383;1991;À SRA. PREFEITA ASSUNTO:INSTITUÍDA UMA CAMPANHA DE LIXO SELETI VO, A SER REALIZADO OBRIGATORIAMENTE,ANUALMENTE, DURANTE O PERÍODO DE 1O. A 30 DE MARÇO, PODENDO SE ESTENDER ATÉ 30 DE NOVEMBRO DE CADA ANO.;;CAMPANHA EDUCACIONAL/LIXO RECICLAVELCAMPANHA DE LIXO SELETIVO/COLETA SELETIVA DE LIXO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
976;IND;;2491;1991;AO SR. SECRETÁRIO DE JUSTIÇA E DA DEFESA DA CIDADANIA DO ESTADO DE SÃO PAULO ASSUNTO: CONTROLE DE QUALIDADE DE PRODUTOS (INSTITUTO DE PESOS E MEDIDAS (IPEM).;;PILHA/ACUCAR/IPEM/CONTROLE DE QUALIDADELAMPADA;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
990;IND;;2505;1991;À SRA. PREFEITA ASSUNTO: CONGESTIONAMENTO DE TRÂNSITO, É NECESSÁRIO QUE O DSV E CET PROJETEM AS SOLUÇÕES, BAIRRO: IPIRANGA, AR/ IPIRANGA .;;ENGENHARIA DE TRAFEGO/TRANSITO/SISTEMA VIARIOIPIRANGA;;AR-IP;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1026;IND;;2541;1991;À SRA. PREFEITA ASSUNTO: DENOMINAÇÃO DE PROF. JOÃO DA CUNHA CALDEIRA FILHO, A UMA ESCOLA MUNICIPAL.;;DENOMINACAO DE ESCOLAJOAO DA CUNHA CALDEIRA FILHO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
1108;IND;;2623;1991;AO EXECUTIVO MUNICIPAL ASSUNTO:ESTENDER AOS SERVIDORES DE NÍVEL ADMINISTRATIVO E OPERACIONAL, OCUPANTES DE CARGOS EM COMISSÃO COM CINCO ANOS DE SERVIÇO PÚBLICO EM 05 DE OUTUBRO DE 1988, A MESMA SOLUÇÃO APLICADA AOS PROFESSORES COMISSIONADOS.;;CARGO EM COMISSAO/ESTABILIDADE/SERVIDOR MUNICIPALSERVIDOR ESTAVEL/SERVIDOR OPERACIONAL;;;;MAURO AILTON PUERRO;PARTIDO DOS TRABALHADORES
1140;IND;;2655;1991;À SRA. PREFEITA ASSUNTO: PROCEDA ESTUDOS SOBRE A VIABILIDADE DE SE DETERMINAR HORÁRIOS FIXOS DE VISITA, DE CUNHO TURÍSTICO, AO TEATRO MUNICIPAL.;;TURISMO/HORARIO DE VISITATEATRO MUNICIPAL;;;;MARCOS RIBEIRO DE MENDONCA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1142;IND;;2657;1991;À SRA. PREFEITA ASSUNTO: TRANSPORTE ESCOLAR-PERUAS,MICRO-ÔNIBUS BAIRRO: PINHEIROS, AR_PINHEIROS.;;FISCALIZACAO DE TRANSPORTE ESCOLARPINHEIROS/TRANSPORTE ESCOLAR;;AR-PI;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1167;IND;;2682;1991;AO PRESIDENTE DA SABESP ASSUNTO: REFORMULAÇÃO DOS VALORES RELATIVOS A ATUALIZAÇÃO MONETÁRIA E ELEVADO DO PRAZO PARA PAGAMENTO DAS CONTAS DE ÁGUA E ESGOTO.;;CORRECAO MONETARIA/SABESPCONTA DE AGUA E ESGOTO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1184;IND;;2699;1991;À SRA. PREFEITA ASSUNTO: INDICO A DENOMINAÇÃO DE BENITO NOCOLETTI A ALGUM LOGRADOURO DO BAIRRO CASA VERDE, OU ADJACÊNCIAS.;;LOGRADOURO PUBLICO/CASA VERDE/BENITO NICOLETTIDENOMINACAO DE LOGRADOURO;;AR-FO;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1185;IND;;2700;1991;À SRA. PREFEITA ASSUNTO: INDICO A DENOMINAÇÃO DE GERALDO ALVA RENGA STOCKLER (ZÉ TAGUARA), AO LOGRADOURO FORMADO NA CONFLUÊNCIA DAS RUAS RELÍQUIA E VICHY NO BAIRRO DE CASA CERDE.;;DENOMINACAO DE LOGRADOURO/LOGRADOURO PUBLICOCASA VERDE/GERALDO ALVARENGA STOCKLER;;AR-FO;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1192;IND;;2707;1991;SRA. PREFEITA ENCAMINHAR A ESTA CASA PROJETO DE LEI CONCEDENDO O USO, POR 99 ANOS, DE AREA HACHURADA NO CROQUI ANEXO, PARA A ESCOLA DE SAMBA DE MOÓCA.;;CESSAO DE AREAESCOLA DE SAMBA UNIDOS DA MOOCA;;;;EDSON FALANGA;PARTIDO LIBERAL
1193;IND;;2708;1991;SRA. PREFEITA SEJA REMETIDO A ESTA CASA, O ANTE-PROJETO DE LEI REGULAMENTADOR DOS PROCEDIMENTOS DO PODER EXECUTIVO QUE REDUNDA REM NAS OBRAS DE REFORMA DO AUTÓDROMO DE INTERLAGOS E NA AMPLIAÇÃO DA FROTA DE ÔNIBUS DA CIA.MUN.TRANSPORTES COLETIVOS - CMTC:;;AUTODROMO DE INTERLAGOS/FROTA DE ONIBUS/CMTCOBRAS PUBLICAS;;;;NELSON GERRA JUNIOR;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1203;IND;;5;1992;À SRA. PREFEITA ASSUNTO: CONCESSÕES DE ESPAÇOS EM PRAÇAS, JAR DINS E ÁREAS DE GRANDE MOVIMENTO E CONCENTRAÇÃO PARA QUE EMPRESAS CONSTRUAM E EXPLOREM COMERCIALMENTE QUIOSQUES COM BANHEIROS COMPLETOS, MINI CRECHES RÁPIDAS, GUARDA DE VOLUMES E MALAS.;;CESSAO DE AREA/GUARDA VOLUMES/SANITARIOSESPACO COMERCIAL/USO PUBLICO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1206;IND;;8;1992;À SRA. PREFEITA ASSUNTO: ESCALONAMENTO CONFORME A IMPORTÂNCIA DO CRUZAMENTO FIXANDO-SE O SEMÁFORO AMARELO PARA AMBOS OS LADOS A PARTIR DA 22:00 HORAS.;;ASSALTO/SEMAFORO AMARELO/SINALIZACAO DE TRANSITOSEMAFORO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1250;IND;;52;1992;"SRA. PREFEITA DISPENSA DE PAGAMENTO, O ESTACIONAMENTO DE MOTOCI CLETAS E SIMILARES NAS ÁREAS DE ""ZONA AZUL"".";;COBRANCA DE ESTACIONAMENTO/ISENCAO DE TARIFASESTACIONAMENTO DE MOTO/MOTOCICLETA/ZONA AZUL;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1257;IND;;59;1992;À SRA. PREFEITA ASSUNTO: CONCESSÃO DE ISENÇÃO DE PAGAMENTO DO IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) A APOSENTADOS E PENSIONISTA.;;APOSENTADO/IPTU/ISENCAO TRIBUTARIAINFORMACAO DO EXECUTIVO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1259;IND;;61;1992;À SRA. PREFEITA ASSUNTO: CONSERVAÇÃO DE LOGRADOUROS, LOCAL:PRAÇA ESTEVÃO FALCÃO E RUA PROF. PEDRO PINTO, PRÓXIMO À AV. NOVA CANTAREIRA, BAIRRO: JARDIM BARRO BRANCO TREMEBÉ SANTANA.;;;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
1320;IND;;122;1992;AO EXECUTIVO MUNICIPAL ASSUNTO: COLOCAÇÃO DE ESCORAMENTO DE MADEIRA, NAS MARGEM DO CÓRREGO DO CORDEIRO AMERICANÓPOLIS.;;AMERICANOPOLIS/ESCORAMENTO DE MADEIRACORREGO DO CORDEIRO/OBRAS DE CONTENCAO;;;;BRUNO FEDER NETO;PARTIDO PROGRESSISTA BRASILEIRO
1346;IND;;148;1992;SRA. PREFEITA REVOGAÇÃO DA LEI 8.071 DE 12 DE JUNHO DE 1974 QUE APROVA PLANO DE URBANIZAÇÃO NO 10O. SUBDISTRITO DO BELENZINHO.;;BELENZINHO/URBANIZACAOLEI 08.071/74;;AR-MO;;JULIO CESAR CALIGIURI FILHO;PARTIDO SOCIALISTA BRASILEIRO
1361;IND;;163;1992;SRA. PREFEITA IMPLANTAÇÃO DE LINHA DE ÔNIBUS NO BAIRRO DA FAZEN DA CAGUAÇU.;;FAZENDA CAGUACULINHA DE ONIBUS;;;;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
1388;IND;;190;1992;À SRA. PREFEITA ASSUNTO: ENVIAR P.L. PROPONDO ALTERAÇÃO DA LEGISLAÇÃO RELATIVA AO IMPOSTO PREDIAL E TERRITORIAL URBANO, DO EXERCÍCIO DE 1992.;;CALCULO DE IMPOSTOS/ISENCAO TRIBUTARIAIPTU/PAGAMENTO DE IMPOSTO/PROJETO DE LEI;;;;EUSTAQUIO VITAL NOLASCO;PARTIDO COMUNISTA DO BRASIL
1395;IND;;197;1992;À SRA. PREFEITA ASSUNTO DIMINUA A CARGA TRIBUTÁRIA QUE RECAI ATUALMENTE SOBRE OS CIDADÃOS PAULISTANOS.;;CAMPANHA PUBLICITARIA/IPVA/PROPAGANDA MUNICIPALIPTU/REDUCAO DE IPTU;;;;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
