;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
68;IND;;1583;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA ESCOLA P/O BAIRRO JD.ÂNGELA, AR -CAMPO LIMPO (PRÓXIMA À ESTRADA DE ITAPECERICA).;;ESCOLA MUNICIPAL;;AR-CL;JARDIM ANGELA (AR-CL);ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
73;IND;;1588;1991;SRA. PREFEITA CANALIZAÇÃO DO CÓRREGO DA CHÁCARA SONHO AZUL,BAIR RO SONHO AZUL, AR-CAMPO LIMPO.;;CANALIZACAO DE CORREGOCORREGO DA CHACARA SONHO AZUL;;AR-CL;CHACARA SONHO AZUL;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
77;IND;;1592;1991;SRA. PREFEITA OFICIALIZAÇÃO DAS R.DO BAIRRO CHÁCARA SONHO AZUL, AR-CAMPO LIMPO.;;OFICIALIZACAO DE LOGRADOURO;;;CHACARA SONHO AZUL;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
80;IND;;1595;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA E.M.E.I. (ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL), P/ATENDER OS BAIRROS DE JD.STA.JOSEFINA,JD. VERGUEIRO,JD.S.FRANCISCO DE ASSIS,PIRAPORINHA E ADJACÊNCIAS.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL/PIRAPORINHASECRETARIA MUNICIPAL DE EDUCACAO - SME;;;JARDIM SANTA JOSEFINA;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
122;IND;;1637;1991;SRA. PREFEITA CONCESSÃO DE ISENÇÃO DO PAGAMENTO DE IPTU ÀS ENTI DADES SEM FINS LUCRATIVOS, DURANTE O PERÍODO DE CONSTRUÇÃO DE O BRA APROVADA PELA PREFEITURA.-;;CONSTRUCAO/ISENCAO TRIBUTARIA/IPTUASSOCIACAO SEM FINS LUCRATIVOS;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
123;IND;;1638;1991;SRA. PREFEITA CONSTRUÇÃO DE PRONTO SOCORRO PARA ATENDIMENTO EX CLUSIVO DE SERVIDORES MUNICIPAIS, JUNTO AO HSPM, NA ÁREA ANEXAQUE ESTÁ SENDO DESAPROPRIADA.;;PRONTO SOCORRO/SERVIDOR MUNICIPALHOSPITAL DO SERVIDOR PUBLICO MUNICIPAL - HSPM;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
124;IND;;1639;1991;SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA - IMPLANTAÇÃO DE UM POSTO POLICIAL NA VILA IARA - PIRITUBA.;;PIRITUBA/POSTO POLICIALSECRETARIA DE ESTADO DA SEGURANCA PUBLICA;;;VILA IARA;ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
131;IND;;1646;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA CRECHE PARA O BAIRRO JD. HERCULANO.;;CRECHE;;;JARDIM HERCULANO;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
136;IND;;1651;1991;"SRA. PREFEITA CANALIZAÇÃO DO ""CÓRREGO DO CURTUME"", BAIRRO JD. CRISTÁLIA, AR-CAMPO LIMPO.";;CANALIZACAO DE CORREGOCORREGO DO CURTUME;;;JARDIM CRISTALIA;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
140;IND;;1655;1991;"SRA. PREFEITA ELABORAÇÃO DO""CÓDIGO DE ÁREAS VERDES"", UNIFICANDO TODA A LEGISLAÇÃO PERTINENTE COM NOVAS SOLUÇÕES ADEQUADAS NO QUE SE REFERE À ECOLOGIA E USO DO SOLO.";;ECOLOGIA/USO DO SOLOCODIGO DE AREAS VERDES;;;;EDSON FALANGA;PARTIDO LIBERAL
157;IND;;1672;1991;SECRETARIO DE ESTADO DA SEGURANÇA PUBLICA - POLICIAMENTO P/ A REGIÃO QUE COMPREENDE OS BAIRROS DE V.PEREIRA BARRETO E V.IARA, EM PIRITUBA.;;PIRITUBA/SECRETARIA DE ESTADO DA SEGURANCA PUBLICAVILA IARA/POLICIAMENTO;;;VILA PEREIRA BARRETO;LUIZ CARLOS MORAES DE MOURA;PARTIDO COMUNISTA BRASILEIRO
168;IND;;1683;1991;SRA. PREFEITA DECLARAR DE UTILIDADE PÚBLICA MUNICIPAL, O CENTRO SOCIAL PARELHEIROS.;;UTILIDADE PUBLICA/CENTRO SOCIAL PARELHEIROSCRIANCA/ADOLESCENTE;;;;EDER JOFRE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
169;IND;;1684;1991;"SRA. PREFEITA DECLARAR DE UTILIDADE PÚBLICA MUNICIPAL A ENTIDADE ""CASA ESPIRITA IRMÃO FARIA"".";;UTILIDADE PUBLICA/CASA ESPIRITA IRMAO FARIAINDIGENTE;;;;EDER JOFRE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
178;IND;;1693;1991;SRA. PREFEITA ENVIAR A ESTA CASA PROJETO DE LEI QUE AMPLIE O HO RARIO DE FUNCIONAMENTO DAS BIBLIOTECAS MUNICIPAIS ATE A ZERO HORA DE SEGUNDA A SEGUNDA-FEIRA.;;HORARIO DE FUNCIONAMENTOBIBLIOTECA PUBLICA;;;;OSVALDO SANCHES FERNANDES;PARTIDO PROGRESSISTA BRASILEIRO
180;IND;;1695;1991;"SRA. PREFEITA SOLICITA ESTUDOS, JUNTO À SECRETARIA MUNICIPAL DE CULTURA, NO SENTIDO DE SER INSTITUÍDO NO ÂMBITO DO MUNICÍPIO O PROGRAMA ""MÚSICA PAR A COMUNIDADE"".";;MUSICA/SECRETARIA MUNICIPAL DE CULTURA - SMCENSINO/PROGRAMA MUSICA PARA A COMUNIDADE;;;;EUSTAQUIO VITAL NOLASCO;PARTIDO COMUNISTA DO BRASIL
186;IND;;1701;1991;SRA. PREFEITA PROCEDER A ELABORAÇÃO DE ESTUDOS E IMPLANTAÇÃO DE UM VIADUTO DE TRANSPOSIÇÃO DA FERROVIA JUNTO À ESTAÇÃO JARAGUÁ DA COMPANHIA BRASILEIRA DE TRENS URBANOS-CBTU.;;CBTU/FERROVIA/ESTACAO FERROVIARIA JARAGUAVIADUTO;;;;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
194;IND;;1709;1991;SRA. PREFEITA DESIGNAR PARA PRESTAREM SERVIÇOS NO PAM, PROFA.MA RIACECILIA FERRO DONANGELLO DE VILA PENTEADO, AUXILIARES ADMINIS TRATIVOS E MÉDICOS EM GERAL.;;MEDICO/PAM PROFA. MARIA CECILIA FERRO DONNANGELOSERVIDOR DA SAUDE;;;VILA PENTEADO (AR-FO);JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
195;IND;;1710;1991;"SRA. PREFEITA SOLUÇÃO P/ESTADIO PAULO MACHADO DE CARVALHO-PACAEMBÚ:1)ABUSO NOS PREÇOS COBRADOS PELOS COMERCIANTES; 2)FALTA DE HIGIENE POR PARTE DOS VENDEDORES; 3)PROIBIÇÃO DE VENDA DE BEBIDAS EM COPOS COLOCADOS EM BALCÕES.";;ESTADIO MUNICIPAL DO PACAEMBU/SAUDE PUBLICAHIGIENE PUBLICA/FISCALIZACAO DE PRECO;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
208;IND;;1723;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA CRECHE NO BAIRRO JD. MARIA ISABEL, AR-CL.;;CRECHE;;AR-CL;JARDIM MARIA ISABEL;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
209;IND;;1724;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA CRECHE NO BAIRRO JD. IRENE, ARCL.;;CRECHE;;AR-CL;JARDIM IRENE (AR-CL);ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
220;IND;;1735;1991;SRA. PREFEITA CONSTRUÇÃO DE UMA CRECHE PARA O BAIRRO ALTO DO RI VIERA, AR-CL.;;CRECHE;;AR-CL;ALTO DA RIVIERA;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
221;IND;;1736;1991;SRA. PREFEITA CONSTRUÇÃO DE UM POSTO DE SAÚDE PARA O BAIRRO JD. IRENE, AR-CL.;;POSTO DE SAUDE;;AR-CL;JARDIM IRENE (AR-CL);ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
228;IND;;1743;1991;SRA. PREFEITA OFICIALIZAÇÃO DAS TRAVESSAS DO BAIRRO AMERICANÓPOLIS, AR-SA.;;TRAVESSA/AMERICANOPOLISOFICIALIZACAO DE LOGRADOURO;;AR-SA;;ARMELINDO PASSONI;PARTIDO DOS TRABALHADORES
229;IND;;1744;1991;SRA. PREFEITA PAGAMENTO DE IMPOSTOS ATRASADOS EM QUALQUER AGÊNCIA BANCÁRIA, EM TODOS OS BAIRROS.;;BANCOS/IMPOSTOS ATRASADOSPAGAMENTO DE IMPOSTO;;;;ARSELINO ROQUE TATTO;PARTIDO DOS TRABALHADORES
238;IND;;1753;1991;"SRA. PREFEITA DENOMINAR ""ANGELO CARDOMINGO""UMA DAS VIELAS INOMI NADAS SITUADAS NO JD. BRASIL.";;DENOMINACAO DE LOGRADOURO/VIELAANGELO CARDOMINGO;;;JARDIM BRASIL (AR-MG);LUIZ PAULO GNECCO;PARTIDO COMUNISTA BRASILEIRO
239;IND;;1754;1991;SRA. PREFEITA EFETUAR CONSÓRCIO ENTRE A PREFEITURA DA CAPITAL E A DE OSASCO, PARA PROCEDER A ELABORAÇÃO DE ESTUDOS E PROJETO PARA A CANALIZAÇÃO DO RIBEIRÃO VERMELHO, ENTRE A VIA ANHANGUERA E AV.MUTINGA, E CONSEQUENTEMENTE A IMPLANTAÇÃO DA AV.FUNDO VALE;;ABERTURA DE RUA/OSASCO (MUNICIPIO)/CANALIZACAORIBEIRAO VERMELHO/CONSORCIO DE MUNICIPIOS;;;;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
263;IND;;1778;1991;SRA. PREFEITA IMPLANTAÇÃO DE UMA LINHA DE ÔNIBUS LIGANDO O JD. NOSSA SRA. APARECIDA AO CENTRO DA CIDADE.;;ZONA CENTRAL/CMTCLINHA DE ONIBUS;;;JARDIM NOSSA SENHORA APAR;EUSTAQUIO VITAL NOLASCO;PARTIDO COMUNISTA DO BRASIL
287;IND;;1802;1991;SRA. PREFEITA IMPLANTAÇÃO DE LINHA DE ONIBUS - V.PRUDENTE/V.MARIANA, VILA PRUDENTE, AR/VP.;;VILA MARIANALINHA DE ONIBUS;;AR-VP;VILA PRUDENTE;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
290;IND;;1805;1991;SRA. PREFEITA SEJA DADO O NOME DE MARIA DOROTHEA BRASIL VITA À UMA DAS ESCOLAS DO MUNICÍPIO DE SÃO PAULO.;;DENOMINACAO DE ESCOLA/ESCOLA MUNICIPALMARIA DOROTEIA BRASIL VITA;;;;ALMIR GUIMARAES DE OLIVEIRA;PARTIDO DEMOCRATICO TRABALHISTA
293;IND;;1808;1991;"SRA. PREFEITA PARA QUE SE FAÇA CUMPRIR A LEGISLAÇÃO NO QUE DIZ RESPEITO À INSTALAÇÃO E FUNCIONAMENTO DE MOTÉIS E ""DRIVE-INS"",DEN TRO DO PERÍMETRO URBANO.";;DRIVE IN/FISCALIZACAO/PERIMETRO URBANO/MOTELLOCALIZACAO DE MOTEL;;;;MARCOS RIBEIRO DE MENDONCA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
297;IND;;1812;1991;SRA. PREFEITA PROJETO CORRIGINDO AS DISTORÇÕES DA LEI N.9480, DE 08/06/82, RELATIVAS A CARREIRA DE AGENTE DE APOIO FISCAL.;;AGENTE DE APOIO FISCAL/CARGOS E FUNCOESCARREIRA/LEI 09.480/82;;;;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
323;IND;;1838;1991;SRA. PREFEITA PAVIMENTAÇÃO DA R.PROJETADA, AR-PE.;;RUA PROJETADAPAVIMENTACAO;;AR-PE;;GILBERTO NASCIMENTO SILVA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
325;IND;;1840;1991;SRA. PREFEITA PAVIMENTAÇÃO DA R.EXISTENTE, CAD.LOG.25.566-1, V.CHABILANDIA,GUAIANASES, AR/IQ.;;GUAIANASES/LOGRADOURO PUBLICOPAVIMENTACAO;;AR-IQ;VILA CHABILANDIA;JOSE GUILHERME GIANETTI;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
342;IND;;1857;1991;SRA. PREFEITA CANALIZAÇÃO DO CÓRREGO MANDI - JD.MARINA.;;CORREGO MANDICANALIZACAO DE CORREGO;;AR-FO;JARDIM MARINA (AR-FO);ANTONIO JOSE DA SILVA FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
352;IND;;1867;1991;SRA. PREFEITA CONSTRUÇÃO DE CRECHE, VILA MARA, S.MIGUEL PAULISTA, AR/MP.;;SAO MIGUEL PAULISTACRECHE;;AR-MP;VILA MARA;JOSE GUILHERME GIANETTI;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
367;IND;;1882;1991;"SRA. PREFEITA FORNECIMENTO AO VARP-VETERANOS AMIGOS DO RIO PE QUENO: A)TELA PARA CERCAR A PÇA.,DE ESPORTES; B)MOURÕES EM NO. NECESSÁRIO P/ A FIXAÇÃO DA TELA; C)UM CONJUNTO DE BOLAS P/VÔLEI, BASQUETE E FUTEBOL.";;SECRETARIA MUNICIPAL DE ESPORTES - SEME/CERCA/BOLAMOURAO/VETERANOS AMIGOS DO RIO PEQUENO - VARP;;;;JUAREZ SOARES MOREIRA;PARTIDO DOS TRABALHADORES
381;IND;;1896;1991;"SRA. PREFEITA INSTITUIÇÃO DO CARTÃO DE ZONA AZUL COM PERÍODO DE 15 MINUTOS; INSTALAÇÃO DE PAQUIMETROS NAS PRINCIPAIS RUAS DE COMÉCIO.";;ESTACIONAMENTO/ZONA AZUL/PERIODO DE ESTACIONAMENTOCARTAO DE ZONA AZUL/PARQUIMETRO;;;;EDSON FALANGA;PARTIDO LIBERAL
400;IND;;1915;1991;SRA. PREFEITA POSTO DE SAÚDE MUNICIPAL JD.WILMA FLOR, GUAIANAES AR-IG.;;POSTO DE SAUDEGUAIANASES;;AR-IQ;JARDIM VILMA FLOR;ALBERTINO ALVES NOBRE;PARTIDO TRABALHISTA BRASILEIRO
401;IND;;1916;1991;SRA. PREFEITA ESCOLA DE 1O.GRAU MUNICIPAL, JD.WILMA, GUAIANAZES AR/IG.;;GUAIANASES/ESCOLA MUNICIPALESCOLA MUNICIPAL DE PRIMEIRO GRAU;;AR-IQ;JARDIM VILMA FLOR;ALBERTINO ALVES NOBRE;PARTIDO TRABALHISTA BRASILEIRO
430;IND;;1945;1991;SRA. PREFEITA PLACAS INDICATIVAS DE CADA BAIRRO.;;PLACA DENOMINATIVA;;;BAIRROS;FRANCISCO SANTOS BATISTA FILHO;PARTIDO TRABALHISTA BRASILEIRO
441;IND;;1956;1991;SRA. PREFEITA CANALIZAÇÃO P/O CÓRREGO GUAVIRUTUBA, JD.STA.ZÉLIA;;CANALIZACAO DE CORREGOCORREGO GUAVIRUTUBA;;;JARDIM SANTA ZELIA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
442;IND;;1957;1991;SRA. PREFEITA OBJETIVO DE SE VIABILIZAR A IMPLANTAÇÃO DE UMA CRECHE NA REGIÃO D GLICÉRIO, BAIRRO DO CAMBUCI.;;VARZEA DO GLICERIO/CAMBUCICRECHE;;;;PAULO SEITI KOBAYASHI;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
491;IND;;2006;1991;SRA. PREFEITA-COLOCAÇÃO DE ILUMINAÇÃO DE SÓDIO, PÇA. DO JD.VAZ DE LIMA, PQ.STO.ANTONIO, AR-CL.;;PRACA/ILUMINACAO PUBLICAJARDIM VAZ DE LIMA;;AR-CL;PARQUE SANTO ANTONIO (AR-;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO
510;IND;;2025;1991;À SRA. PREFIETA, A NECESSIDADE DE PROVIDÊNCIAS JUNTO AOS ÓRGÃOS COMPETENTES,ASSUNTO: COLOCAÇÃO DE GABIÕES NO CÓRREGO DO CORDEIRO, ENTRE AS RUAS JACINTO PAES E ARQUITETO FELIPE JOAQUIM JR., ATÉ A RUA DERVILLE ALEGRETTI,BAIRRO DE AMERICANÓPOLIS AR/VM.;;AMERICANOPOLIS/CORREGO DO CORDEIROGABIAO;;AR-SA;;PAULO SEITI KOBAYASHI;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
518;IND;;2033;1991;À SRA. PREFEITA SEJA ESTUDADA PELA ADMINISTRAÇÃO PÚBLICA, COM A MÁXIMA URGÊNCIA, CRIAÇÃO DE CURSOS PROFISSIONALIZANTE COMO O EXISTENTE NA ESCOLA MUNICIPAL DERVILLE ALEGRETTI, EM SANTANA.;;EMPSG PROF. DERVILLE ALLEGRETTIENSINO PROFISSIONALIZANTE;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
524;IND;;2039;1991;À SRA. PREFEITA A NECESSIDADE DE PROVIDÊNCIAS, JUNTO AOS ÓRGÃOS COMPETENTES, PARA QUE SE PROCEDA A EDIFICAÇÃO DE UMA BIBLIOTECA PÚBLICA MUNICIPAL,COM ANFITEATRO, PARA ATENDIMENTO DA POPULAÇÃO DO BAIRRO CIDADE SÃO MATHEUS.;;BIBLIOTECA PUBLICAANFITEATRO;;AR-IQ;CIDADE SAO MATEUS;GILSON ALMEIDA BARRETO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
525;IND;;2040;1991;À SRA. PREFEITA A NECESSIDADE DE PROVIDÊNCIAS, JUNTO AOS ÓRGÃOS COMPETENTES, PARA QUE SE PROCEDA A INSTALAÇÃO DE UMA BIBLIOTE PÚBLICA MUNICIPAL NO BAIRRO CIDADE SÃO MATHEUS.;;BIBLIOTECA PUBLICA;;AR-IQ;CIDADE SAO MATEUS;GILSON ALMEIDA BARRETO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
527;IND;;2042;1991;À SRA. PREFEITA A NECESSIDADE DE ESTUDOS VISANDO A IMPLANTAÇÃO DE PONTOS DE ÔNIBUS INTERMEDIÁRIOS, NOS HORÁRIOS DE PICO, PERMITINDO QUE OS ÔNIBUS NÃO SAIAM APENAS DE PONTOS INICIAIS.;;HORARIO DE PICOPONTO DE ONIBUS;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
540;IND;;2055;1991;À SRA. PREFEITA, A NECESSIDADE DE ESTUDOS VISANDO A IMPLANTAÇÃO, POR PARTE DA PREFEITURA MUNICIPAL DE SÃO PAULO, DE TENDAS ( TIPO CIRCO) EM VIAS PÚBLICAS LIVRES DO MUNICÍPIO PARA QUE OS TERREIROS E ILES DE CANDOMBLÉS,POSSAM ATENDER A POPULAÇÃO.;;CANDOMBLE/TENDATERREIRO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
545;IND;;2060;1991;À SRA. PREFEITA A NECESSIDADE DE PROVIDÊNCIAS, JUNTO AOS ÓRGÃOS COMPETENTES ASSUNTO: PAVIMENTAÇÃO, LOCAL: RUA EXISTENTE,BAIRRO JARDIM PROGRESSO AR/CS.;;PAVIMENTACAOLOGRADOURO PUBLICO;;AR-CS;JARDIM PROGRESSO;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
547;IND;;2062;1991;À SRA. PREFEITA A NECESSIDADE DE PROVIDÊNCIAS, JUNTO AOS ÓRGÃOS COMPETENTES ASSUNTO:CONSTRUÇÃO DE CRECHE,LOCAL:JARDIM MÁLIA II.;;CRECHE;;AR-CS;JARDIM MALIA II;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
563;IND;;2078;1991;À SRA. PREFEITA A NECESSIDADE DE PROVIDÊNCIAS, JUNTO AOS ÓRGÃOS COMPETENTES ASSUNTO: PAVIMENTAÇÃO - LOCAL: RUA EXISTENTE BAIRRO PARQUE DO ENGENHO - AR/CL.;;PAVIMENTACAOLOGRADOURO PUBLICO;;AR-CL;PARQUE DO ENGENHO;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
588;IND;;2103;1991;À SRA. PREFEITA, A NECESSIDADE DE PROVIDÊNCIAS JUNTO À SECRETARIA MUNIC.DE EDUCAÇÃO,NO SENTIDO QUE SEJAM DESENVOLVIDOS NAS ESCOLAS MUNIC. UM TRABALHO VISANDO A REUTILIZAÇÃO DE SOBRAS DE LIVROS E CADERNOS P/ A PRODUÇÃO DE PAPEL RECICLADO.;;ESCOLA MUNICIPALPAPEL RECICLADO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
647;IND;;2162;1991;À SRA. PREFEITA, A NECESSIDADE DE ESTUDOS VISANDO À CRIAÇÃO DE CARGOS DE VETERINÁRIOS,PARA PRESTAÇÃO DE SERVIÇO JUNTO AOS POSTOS DE SAÚDE PÚBLICA, QUE NÃO SÓ TRATARIAM DE ANIMAIS DOMÉSTICOS, BEM COMO DARIAM INSTRUÇÕES Á POPULAÇÃO.;;CARGOS E FUNCOES/POSTO DE SAUDEVETERINARIO;;;;IREDE APPARECIDA CARDOSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
678;IND;;2193;1991;A SRA. PREFEITA: SOLIVCITA PROVIDENCIAS DO EXECUTIVO PARA DETER MINAR A EXIGENCIA DE EXAMES MEDICOS NOS RECEM-NASCIDOS TESTES DE HIPOTIREOIDISMO CONGENITO E DE FENILCETONURIA (TESTE DO PE).;;EXAME HEMATOLOGICO/MATERNIDADE/HIPOTIREOIDISMORECEM NASCIDO/FENILCETONURIA;;;;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
702;IND;;2217;1991;À SRA. PREFEITA ASSUNTO: CONCESSÃO DE ISENÇÃO DO PAGAMENTO DO IMPOSTO PREDIAL URBANO QUANDO SE TRATAR DE IMOVEIS UTILIZADOS COMO CASA PAROQUIAL.;;CASA PAROQUIAL/IPTU/INSTITUICAO RELIGIOSAISENCAO TRIBUTARIA;;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
